synthetic_profile_benchmark files_observed=5473804389 phases=100 elapsed_s=1970.039 files_per_second=2778526.176 logical_size_bytes=7548229507007918 small_files=3970514982 large_files=1503289407
phase index=53 name=phase_53 files=100000000 small=77704482 large=22295518 small_ratio=0.777 logical_size_bytes=7034241754186 avg_filename_len=12.731 avg_depth=9.965 size_buckets=<=0:1499/0,<=4096:5003785/15611463344,<=16384:28080223/279046565710,<=65536:32015760/1132627459643,<=131072:12603215/1178347330300,<=1048576:22215202/3991834532192,<=16777216:80227/418087898020,<=134217728:47/3305144076,<=1073741824:42/15381360901,<=inf:0/0
phase index=54 name=phase_54 files=73804389 small=36652809 large=37151580 small_ratio=0.497 logical_size_bytes=3555788463202358 avg_filename_len=17.753 avg_depth=8.416 size_buckets=<=0:12985/0,<=4096:1751259/4261384854,<=16384:8886083/98919257581,<=65536:16171541/581999133659,<=131072:9830941/962905848779,<=1048576:20507846/5321173766439,<=16777216:3315690/15754152383971,<=134217728:5820341/399587759632972,<=1073741824:7182933/2661245483053052,<=inf:324770/472231808741051
phase index=55 name=phase_55 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=56 name=phase_56 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=57 name=phase_57 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=58 name=phase_58 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=59 name=phase_59 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=60 name=phase_60 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=61 name=phase_61 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=62 name=phase_62 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=63 name=phase_63 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=64 name=phase_64 files=0 small=0 large=0 small_ratio=0.000 logical_size_bytes=0 avg_filename_len=0.000 avg_depth=0.000 size_buckets=<=0:0/0,<=4096:0/0,<=16384:0/0,<=65536:0/0,<=131072:0/0,<=1048576:0/0,<=16777216:0/0,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
